ID,q,a
249,腰椎间盘突出症的主要症状是 ()A、腰痛b、腰和臀部痛c、坐骨神经痛d、腰痛伴坐骨神经痛,d、腰痛伴坐骨神经痛
250,“白马非马”出自谁口？A.韩非 B.庄子 C.公孙龙 D.宋玉,C.公孙龙
251,一般来说，乘用车的整车质量每减少 10%，可降低燃油消耗 () A、6%~8% B、2%~3%  C、10~15% D、以上都不对,A、6%~8% 
252,称为“数学之神”的科学家是？A.希尔伯特 B.阿基米德 C.欧几里得 D.笛卡尔,B.阿基米德
253,文房四宝中的毛笔是谁发明的？A.蒙恬 B.乐毅 C.闻仲 D.刘伯温,A.蒙恬
254,乘用车的整车质量每减少 100kg，百公里油耗可降低 () A.0.8升以上 B.0.1-0.2升 C.0.3-0.6升 D.不会降低,C.0.3-0.6升
255,我国要被选为国家主席、副主席年龄要在多少周岁以上？A.35 B.40 C.45 D.50,C.45
256,全世界每年发生地震约（ ）次？A、5千次B、5万次C、50万次 D、500万次,D、500万次
257,在我国汽车行业中，塑料在整车质量的占比是？A、7%~10%B、10%~15%C、5%~7% D、以上都不对,A、7%~10%
258,《朝天子》这个题目是？A、诗歌的题目B、词牌名C、曲牌名,C、曲牌名
259,我国的植树节是为了纪念谁？A、伍子胥 B、鲁迅 C、孙中山, C、孙中山
260,SBS改性沥青防水卷材最大的特点是( )性能好，同时也具有较好的耐高温性、较高的弹性及延伸率（延伸率可达150%），较理想的耐疲劳性。A、低温柔韧B、高温柔韧C、低温流淌D、高温流淌,A、低温柔韧
261,黄金的延展性最好，1克金可以拉长多少米？A、2000 B、3000 C、4000, C、4000
262,日本船的船名中经常有个“丸”字，代表什么？A、战无不胜 B、宁死不屈 C、吉祥和平,C、吉祥和平
263,（）是根据施工班组领料、退料、剩料和验收完成工程量统计的材料数量A、实际供应量B、实际消耗量C、实际剩余量D、清单工程量,B、实际消耗量
264,黄金分割律是谁发现的？A、亚里士多德 B、阿基米德 C、柏拉图,C、柏拉图
265,患“白化病”的人缺少什么元素？A、锌 B、铜 C、镁,B、铜
266,构成建设工程施工合同的文件不包括()A、施工合同协议书B、中标通知书C、施工合同条款D、施工技术资料,D、施工技术资料
267,世界第一枚邮票出现在？A、美国 B、荷兰 C、 英国,C、 英国
268,自由女神像”是哪个国家送给美国的礼物？ A、法国 B、意大利 C、英国, A、法国
269,以下关于建设工程安全生产基本制度的说法中，正确的是()A、群防群治制度是建筑生产中最基本的安全管理制度B、建筑施工企业应当对直接施工人员进行安全教育培训C、安全检查制度是安全生产的保障D、施工中发生事故时，建筑施工企业应当及时清理事故现场并向建设单位报告,C、安全检查制度是安全生产的保障
270,著名影片《魂断蓝桥》的桥是哪座桥？A、伦敦塔桥 B、廊桥 C、滑铁卢桥,C、滑铁卢桥
271,“蜀犬吠日”的意思是？A、坐井观天 B、少见多怪 C、多管闲事,B、少见多怪
272,在试验室拌制混凝土试块用人工插捣成型，每层的插捣次数应根据试件的截面而定．一般为每100平方厘米截面积不应少于( )次A、12B、10C、8D、6,A、12
273,甲骨文之父是谁？a、王懿荣 b、李学勤 c、董作宾 d、郭沫若,a、王懿荣
274,在夜晚天空晴朗的情况下，我们用肉眼能看到的星星大约有多少颗？A、1500 B、2000 C、3000,C、3000
275,下列哪一个名称的由来与伍子胥有关？A、月老　B、千金小姐　C、新郎,B、千金小姐
276,某一材料的牌号为T4，他是（ ）A、含碳量为0、4%的碳素工具钢 B、4号工业纯铜 C、4号工业纯钛,B、4号工业纯铜
277,下列是普通黄铜的是（ ）A、H68 B、QSn4-3 C、QBe2,B、QSn4-3
278,"女子游泳衣称""比基尼"",这个名字源于什么名?A、设计师 B、运动员C 、模特 D、小岛",D、小岛
279,下列是铸造铝合金的是( )A、LF21 B、LY10 C、ZL101,C、ZL101
280,LF5按工艺特点来分属于( )铝合金A、铸造 B、变形 C、强化,B、变形
281,高尔夫球运动的运动场上共有多少个球洞?A、18个 B、19个 C、20个 D、21个,A、18个
282,下列是钛合金的是( )A、yw2 B、yg3x C、TC4,C、TC4
283,测定淬火钢的硬度，采用( )较适宜A、布氏硬度HBS B、洛氏硬度HRC C、维氏硬度HV,A、布氏硬度HBS
284,体育项目铅球所用的球的重量约多少公斤?A、5公斤B、 6公斤 C、7公斤 D、8公斤, C、7公斤
285,一般工程图样上常标注材料的( )，作为零件检验和验收的主要依据A、强度 B、硬度 C、塑性,C、塑性
286,金属的流动性( )，收缩率小，表明材料的铸造性能好A、大 B、好 C、小,B、好
287,"名言""生命在于运动""是谁说的?A、车尔尼夫斯基 B、普希金 C、伏尔泰 D、契诃夫",C、伏尔泰
288,纯铁在常温下具有(  )的晶格A、面心立方 B、密排六方 C、体心立方,B、密排六方
289,加快冷却速度可(  )过冷度A、增加 B、减小 C、小影响,B、减小 
290,变质处理的目的是(  )A、细化晶粒 B、改变晶体结构 C、改善治炼质晕，减少杂质,A、细化晶粒 
291,"下列哪个国家因""卒可攻王,攻后""而禁止下国际象棋?A、印度 B、印尼 C、肯尼亚 D、沙特阿拉伯",D、沙特阿拉伯
292,过共析钢平衡组织中的渗碳体的形状是(  )A、网状 B、片状 C、块状,C、块状
293,"世界上面值最高的邮票是匈牙利五百亿彭哥,它的图案是A、猫 B、飞鸽 C、海鸥 D、鹰",B、飞鸽
294,要求高硬度和耐磨性的公具，必选用(  )的钢A、低碳成分 B、高碳成分 C、中碳成分,B、高碳成分 
295,"神话《白蛇传》中""白娘娘盗仙草""盗的是A、人参 B、冬虫夏草 C、灵芝 D、田七",C、灵芝
296,合金钢在淬火时，由于合金碳化物直接由马氏体中析出，且旱高度弥散状态，使钢的硬度提高，这种现蒙叫做(  )A、同溶强化 B、加工硬化 C、二次硬化,A、同溶强化
297,共析钢奥氏体过冷到350℃等温将得到(  )A、马氏体 B、珠光体 C、屈氏体,A、马氏体
298,"看鱼鳞能识鱼龄,鱼鳞上的一圈是表示A、半岁 B、一岁  C、一岁半 D、两岁",A、半岁
299,过共析钢适宜的淬火温度范围在(  )A、Ac1以上30-50℃ B、Ac3以上30-50℃ C、Accm以上30-50℃,C、Accm以上30-50℃
300,为使低碳钢便于切削加工，应采用(  )热处理A、完全退火 B、球化退火 C、正火,C、正火
301,金屋藏娇的故事与哪一位皇帝有关?A、汉武帝 B、唐太宗  C、唐明皇 D、元世祖,A、汉武帝
302,高碳工具钢预备热处理一般采用( )A、完全退火 B、球化退火 C、正火,C、正火
303,马氏体的硬度主要取决于(  )A、淬火加热温度 B、马氏体中含碳量 C、淬火冷却速度,B、马氏体中含碳量
304,"有""二十万行长诗""之称的世界最长的史诗是A、《摩诃婆罗多》 B、《罗摩衍那》 C、《荷马史诗》 D、《唐璜》",A、《摩诃婆罗多》
305,淬火钢淬火后的硬度主要取决于(  )A、淬火加热速度 B、淬火冷却速度 C、淬火温度,A、淬火加热速度
306,调质处理是(  )复合热处理T艺A、淬火+高温回火 B、淬火+中温回火 C、淬火+低温回火,B、淬火+中温回火
307,"奥运会旗是:""五色环""旗,其中黄色环代表A、亚洲 B、欧洲C 、非洲 D、大洋洲",A、亚洲
308,用T12A钢制造的锉刀，最后热处理采用(  )A、淬火+中温回火 B、调质处理 C、淬火+低温回火, B、调质处理
309,减震筒内部是磁流变液的是？A.液压伺服机制B.空气悬挂系统C.电磁悬挂系统D.魔毯悬挂系统,C.电磁悬挂系统
310,病人在医院里做检查常使用的“CT”技术，其术语是指（ ）A.脑电图检查 B.计算机断层扫描 C.放射断层摄影 D.磁共振显影,B.计算机断层扫描
311,当人的皮肤受到阳光照射时，便会在体内产生（ ）A.维生素A B.维生素B C.维生素C D.维生素D,D.维生素D
312,海水有苦味是因为它含有（ ）A.氯化钠 B.氯化镁 C.氯化钾 D.氯化钙,B.氯化镁 
313,吃糖过多，不能被人体摄取的糖会转化为（ ）A.无机盐 B.蛋白质 C.维生素 D.脂肪,D.脂肪
314,一般灭火器的灭火原理是（ ）A.降低温度 B.隔绝氧气 C.增加湿度 D.制造泡沫,B.隔绝氧气
315,下列化学元素对其对应的口腔问题有帮助的是（ ）A.有机硅——牙齿发黄 B.氟一一牙齿敏感 C.焦磷酸盐——防止蛀牙 D.氯化锶一一预防牙垢,A.有机硅——牙齿发黄
316,声音的高低由（ ）决定？A.发声体的振幅 B.发声体的材料 C.发声体振动的频率 D.发声体的结构,C.发声体振动的频率
317,蛋白质是一类极为复杂的含氮化合物，它是构成生物体的主要成分，是构成细胞的基本物质材料，一般占生物体干物质重的（ ）A.0.5% B.9% C.50% D.95%,C.50%
318,沙尘暴是沙暴和尘暴的总称，是指强风把地面大量沙尘物质卷起并吹人空中，使空气特别浑浊，水平能见度小于（ ）米的严重风沙天气。A.50 B.100 C.150 D.1000,D.1000
319,飞机起飞与降落时，应（ ），最为有利于安全保障。A.顺风起飞，顺风降落 B.逆风起飞，逆风降落C.顺风起飞，逆风降落 D.逆风起飞，顺风降落, B.逆风起飞，逆风降落
320,以下属于半发酵茶的是（ ）A.西湖龙井茶 B.庐山云雾茶 C.福建安溪铁观音 D.安徽祁门红茶,C.福建安溪铁观音
321,西气东输工程西起为我国四大气田中的A、塔里木气田B、柴达木气田西部气田C、陕甘宁气田D、川渝,A、塔里木气田
322,日光灯的发光效率比白炽灯高，是一种节能光源，但车床照明不使用日光灯，主要的原因是A、日光灯是管形的，因此用它照明看不清零件的细节B、长期在日光灯照射下，工人感到疲劳C、日光灯发光是不连续的，观看转动的物体时会产生错觉D 、日光灯长度大，不便于工人操作,C、日光灯发光是不连续的，观看转动的物体时会产生错觉
323,射击比赛中，飞碟靶的主要制作原料是A、粘土、石英B、沥青、石膏、水泥C、玻璃、皮胶、硅砂岩 D、玻璃、石膏、皮胶,B、沥青、石膏、水泥
324,科学家发现宇宙大爆炸的重要依据之一是A、太空温度为-272.15K B、宇宙星体都在向一个方向收缩C、月球逐渐远离地球D、各星球偏离原轨道,A、太空温度为-272.15K
325,飞机的航行灯有几种颜色A、6 B、1 C、4 D、3,D、3
326,比赛用的足球重量是 A、365-400克 B、396-453克C、435-483克 D、400 克-435克,B、396-453克
327,地球的赤道面与地球轨道平面(黄道面)的交角是？A、23°26B、35°37 C、40°13 D、18°5,A、23°26
328,可吸收颗粒物是指直径小于等于( )的微粒A、5/um B、10/um C、15/um D、20/um,B、10/um 
329,禽流感病毒对热比较敏感，当病毒被加热到60C并持续(）分钟时就会丧失活性A、5B、10C、15D、20,B、10
330,若将生香蕉和熟香蕉放在一起，能将生香蕉催熟。因为熟香蕉产生了( )A、乙烯B、赤霉素C、生长素D、细胞分裂素,A、乙烯
331,东汉著名哲学家（）认为，万物是由于客观存在的“气”的运动而产生的，创建了元气自然论潮论？A、葛洪B、魏源C、王充D、以上都不是,C、王充
332,海上丝绸之路的三个主港不包括？A、厦门B、广州C、泉州D、宁波,A、厦门
333,东晋思想家（）用天地结构模式来解释潮汐成因的理论，并创立了天地结构论潮论？A、葛洪B、魏源C、王充D、以上都不是,A、葛洪
334,船用锚链的最后一节大都会涂上红色或红白相间的油漆，其目的是什么？A、防止锈蚀B、美观漂亮C、便于操作D、警惕丢锚,D、警惕丢锚
335,救生衣上两个长方形浮力袋应放置在哪个部位？A、颈部B、后背C、胸前D、腰部,C、胸前
336,郑和船队来往西洋主要利用什么方向的季风？A、东风B、东南C、东北D、西南,C、东北
337,1吨废纸如果充分再利用，可节省木材多少千克？A.300千克 B.200千克 C.500千克 D.700千克,A.300千克
338,我国首颗暗物质科学卫星为（）A．“嫦娥”号B．“悟空”号C．“探索者”号D．“神州”号,B．“悟空”号
339,根据保质期的不同， 标注保质期16天到不足30天的，此食品的临界期为到期之前的多少天 ?A. 15天B. 1-4天C. 20天D. 5天,D. 5天
340,泡沫灭火器不能用于扑救下面（   ）火灾？A. 塑料B. 汽油C. 煤油D. 金属钠,D. 金属钠
341,以下哪种蔬菜适合放入冰箱过夜冷藏？A. 黄瓜B. 土豆C. 生菜D. 西红柿,C. 生菜
342,被狗咬伤后，以下哪种处理方法不恰当？A. 立即用肥皂水冲洗伤口B. 在伤口处用双飞人消毒C. 在伤口处用碘伏消毒D. 到医院注射狂犬病疫苗,B. 在伤口处用双飞人消毒
343,以下哪种物质不属于肥皂的成分？A. 水B. 香精C. 摩擦剂D. 脂肪酸钠,C. 摩擦剂
344,苹果削皮或切开后会变色，是由于苹果内的哪种物质被氧化？A. 酚类化合物B. 碳水化合物C. 维生素D. 花青素,A. 酚类化合物
345,珍珠奶茶里的“珍珠”一般是用什么原料制成？A. 琼脂B. 糖浆C. 糯米粉D. 木薯淀粉,D. 木薯淀粉
346,以下哪种疾病不会通过蚊子叮咬传播？A. 疟疾B. 乙脑C. 登革热D. 艾滋病,D. 艾滋病
347,以下哪种蔬菜的原产地不在中国？A. 菠菜B. 蕹菜C. 韭菜D. 白菜,A. 菠菜
348,很多药品都需要避光贮存，这里的“光”指的是什么光？A. 日光B. 灯光C. 火光D. 日光和灯光,A. 日光
349,狗不但嗅觉灵敏，还可听见A. 超声波B. 次声波C. 光波D. 电磁波,A. 超声波
350,骨痛病是由（ ）引起的A. 锌B. 镉C. 汞D. 铅,B. 镉
351,人体中微量元素是指（ ）的元素A. 含量不足0.01%B. 含量不足0.1%C. 含量不足l%D. 含量为0.01%～l%的元素,A. 含量不足0.01%
352,正常人耳能够听到声音的频率范围是？A. 2赫兹～2万赫兹B. 20赫兹～20万赫兹C. 20赫兹～2万赫兹D. 200赫兹～2万赫兹,C. 20赫兹～2万赫兹
353,观看3D电影时，通过3D眼镜的偏振镜片实现了（ ）的目的，从而复原拍摄时的立体效果，使人亲临其景。A. 左眼看左放映机画面，右眼看右放映机画面B. 左眼看右放映机画面，右眼看左放映机画面C. 左眼看银幕左边，右眼看银幕右边,A. 左眼看左放映机画面，右眼看右放映机画面
354,过量电离辐射是人类健康的大敌。联合国原子辐射效应委员会指出：每人每年可接受的辐射剂量限值为（ ）A. 1.16毫希B. 0.1毫希C. 2.4毫希D. 不小于2.4毫希,C. 2.4毫希
355,下列材料中，可能存在放射性的材料是（ ）A. 天然石材B. 塑料C. 含甲醛的木材D. 铅,A. 天然石材
356,下列说法正确的是（ ）A. 核裂变指的是一个较重的原子核分裂成两个或两个以上较轻的原子核的反应B. 原子弹爆炸利用的是核聚变C. 氢弹爆炸利用的是核裂变D. 目前核电站利用的是核聚变释放的能量,A. 核裂变指的是一个较重的原子核分裂成两个或两个以上较轻的原子核的反应
357,下列生活常识，说法有误的是（    ）A.短波蓝光会对眼睛造成伤害B.骑自行车时走“之”字型，可减小坡度，让上坡变容易C.竹子长不粗，是因竹子没有形成层D.感冒时没胃口，是舌头上味觉细胞受损所致,D.感冒时没胃口，是舌头上味觉细胞受损所致
358,下列生活常识，说法有误的是（    ）A.茶多酚具有抗氧化、抗菌的功效B.空腹饮茶不利于人的身体健康C.中药具有寒热温凉四种不同的药性D.维生素A是一种水溶性维生素,D.维生素A是一种水溶性维生素
359,下列生活常识，说法有误的是（    ）A.“隔墙有耳”可以用波的衍射现象解释B.粥凉了会更稠，与淀粉分子有关C.天冷时手机掉电快，是因为温度低时锂离子活性会降低D.银器长黑斑是因为银与水蒸气发生了氧化反应,D.银器长黑斑是因为银与水蒸气发生了氧化反应
360,关于可燃冰，下列说法错误的是A.分布于深海沉积物或陆域的永久冻土层中B.是天然气与水在高压低温条件下形成的类冰状结晶物质C.开采过程中必须有效实现对温度和压力条件的控制D.其规模化利用将有效缓解温室效应,D.其规模化利用将有效缓解温室效应
361,"我们常说""隔着门缝看人”，当我们隔着门缝看人时，看到的人A、比原来扁了 B、和原来一样 C、比原来宽了",B、和原来一样
362,达·芬奇是一位杰出的艺术家，同时具有极高的科学天赋，下面哪一项不是他设计的飞行器？（ ）A. 滑翔机B. 直升机C. 降落伞D. 热气球,D. 热气球
363,下列粒子中，静止质量为零的是？A 原子B 分子C 电子D 光子,D 光子
364,下列选项中，按照职业出现时间先后顺序排列正确的是：A.汽车修理工、火车司司机、飞机驾驶员、软件工程师B.火车司机、汽车修理工、飞机驾驶员、软件工程师C.火车司机、飞机驾驶员、汽车修理工、软件工程师D.汽车修理工、火车司机、软件工程师、飞机驾驶员,B.火车司机、汽车修理工、飞机驾驶员、软件工程师
365,下列属于海水淡化技术的是（   ）A.反渗透法B.过滤法C.风干法D.电击法,A.反渗透法
366,工业4.0也被称为第四次工业革命，它以智能制造为主导，主要包括智能工厂、智能（ ）和智能物流A. 生产B. 机器C. 网络D. 技术,A. 生产
367,19世纪，对开辟人类生活新时代起决定作用的自然科学成就是？A、牛顿力学体系的建立B、 达尔文生物进化论的创立C、电磁学说的发展D、爱因斯坦相对论的提出,C、电磁学说的发展
368,下列叙述中不属于病毒特点的是（ ）A、个体微小，要用电子显微镜才能观察到B、没有细胞结构C、在宿主细胞里进行繁殖D、可以独立生活,D、可以独立生活
369,大爆炸宇宙论是由（ ）提出的？A. 哥白尼B. 伽利略C. 伽莫夫D. 梅里特,C. 伽莫夫
370,自然地理环境系统中最活跃的圈层是（ ）A. 大气圈B. 生物圈C. 水圈D. 岩石圈,C. 水圈
371,下列关于太阳的描述正确的是（ ）A. 它表面的温度有600万℃B. 中间有1300万℃C. 在太阳内部高温有500万开尔文D. 高压约l500亿个大气压,A. 它表面的温度有600万℃
372,从根本上说，世界统一于A、物质B、意识C、运动D、思想,A、物质
373,下列从未被列入十八般兵器的是（）A、锤B、锹C、戟D、斧,B、锹
374,"所谓""三线""，一般是指当时经济相对发达且处于（）的沿边沿海地区向内地收缩划分的三道线A、沿海地区B、边境地区C、国防前线D、军事前线",C、国防前线
375,下列诗词中所蕴含的光学原理说法正确的是（    ）A.“市廛不响移沙漠”——光的衍射B.“楼台倒影入池塘”——光的折射C.“一道残阳铺水中”——光的反射D.“教人立尽梧桐影”——光的干涉,C.“一道残阳铺水中”——光的反射
376,下列诗句描述的对象中，机械能变化情况与其他三项不同的是（    ）A.“会挽雕弓如满月”B.“一笑登山依杖行”C.“无边落木萧萧下”D.“独上江楼思渺然” （C不变，其他增加）,C.“无边落木萧萧下”（C不变，其他增加）
377,下列生物常识，说法有误的是（    ）A.碳元素占人体细胞鲜重的比例最大B.微量元素硼对植物生殖过程有影响C.硒可以起到延缓衰老的作用D.脱脂奶粉适宜肥胖又需要补充营养的人群饮用,A.碳元素占人体细胞鲜重的比例最大
378,2022年12月31日，被誉为“争气机”的首台国产F级50兆瓦重型燃气轮机实现首次点火成功。下列表述不正确的是（    ）A.重型燃气轮机是发电和驱动领域的核心设备B.这标志着中国自主燃气轮机实现了从“0”到“1”的突破C.国产F级50兆瓦重型燃气轮机是我国自主研制的第一台重型燃气轮机D.燃气轮机是涉及能源领域的战略性装备，被誉为制造业“皇冠上的明珠”,C.国产F级50兆瓦重型燃气轮机是我国自主研制的第一台重型燃气轮机
379,关于成语中的植物，下列表述正确的是（    ）A.“依样葫芦”中的“葫芦”属于雌雄同株植物B.“青梅竹马”中的“梅”属于被子植物，“竹”属于裸子植物C.“空心萝卜”中的“萝卜”被人类食用的部分是其生殖器官D.“异苔同岑”中的“苔”没有茎、叶的分化，不能进行光合作用,A.“依样葫芦”中的“葫芦”属于雌雄同株植物
380,纤维材料是纤维状物质通过纺织加工工艺形成的结构化材料，通常也被称为纺织材料。下列与之相关的说法不正确的是（    ）A.陶瓷纤维可作为过滤材料，用于净化流体B.以乌拉草纤维和生物降解树脂PBS为原料，能制备可降解的绿色复合材料C.纤维易燃，为保证安全，添加阻燃剂可适当破坏原纤维的物理机械性能D.棕榈纤维编织物具有良好的涵养水分的能力，可铺在地表,C.纤维易燃，为保证安全，添加阻燃剂可适当破坏原纤维的物理机械性能
381,在《科普法》中被称为科普主要社会力量的是（  ）组织A.科协B.科技局C.农技协D.教育局,A.科协
382,目前油脂行业最先进且安全的制油工艺的是（  ）A. 压榨 B.粉碎 C.浸出 D.吸附,A. 压榨
383,新疆共有大小冰川1.86万多条，总面积2.4万多平方米，占中国冰川面积的（  ）？A.60% B.40% C. 80% D.90%,B.40% 
384,"“大自然之书是用数学写成的。”鹦鹉螺的螺壳、向日葵种子的排列,都非常接近于（）A.渐开螺线B.对数螺线C.等速螺线D.双曲螺线",B.对数螺线
385,"判断一台机器是否具备人工智能,半个多世纪前提出的_____ 测试至今仍然是一个令人信服的标准A.明斯基B.麦卡锡C.图灵D.冯·诺依曼",C.图灵D
386,"碳的三种同位素中,  _____ 可用于考古学、地质学等样品的放射性年代测定A.碳-12 B.碳-13 C.碳-14 D.以上都可以",C.碳-14 
387,"在所有金属中,化学性质最稳定的是 _____ A.钛B.钠C.铁D.金",D.金
388,"在世界主要粮食作物中,  _____  的总产量最高A.小麦B.水稻C.玉米D.土豆",C.玉米
389,被称为“遗传学之父”的科学家是  _____ A.孟德尔B.贝多芬C.达尔文D.爱因斯坦,A.孟德尔
390,"在地球的地壳中,含量丰富程度仅次于氧的化学元素是 _____ A.氢B.铝C.碳D.硅",D.硅
391,“墙内开花墙外香”的原因是（  ）  A.分子不断分解; B.分子变成原子;  C.分子是静止的; D.分子不断运动.,D.分子不断运动.
392,一架飞机从北京飞往乌鲁木齐，用3．5个小时，而从乌鲁木齐返航北京时，飞行速度不变，却只需要3小时，原因是？A、地球自转的影响B、两地时差的影响C、中纬度高空西风的影响D、飞行线路的影响,C、中纬度高空西风的影响
393,科学家曾实验把一个铁球从100多米的高塔上，自由下落，观察小球是否垂直下落，结果发现小球（ ）A.向东偏离 B.向西偏离C.向北偏离,A.向东偏离 
394,湖面漂浮着一条船，船里有许多块石头，现在把石头拿出来，丢进水里，湖水水面会有什么变化（ ）A.不变B.上升C.下降,C.下降
395,将一根胡萝卜放在手指上，使它平衡，再从这个平衡点把胡萝卜切成两半，放在天平上比较，结果是（ ）A.一样重B.长的较重C.短的较重,C.短的较重
396,古典诗词中蕴藏着丰富的科学知识。对此，下列表述错误的是？A. “墙角数枝梅，凌寒独自开。遥知不是雪，为有暗香来”说明花香分子在不断运动B. “千淘万漉虽辛苦，吹尽狂沙始到金”反映了金的化学性质具有稳定性C. “铁盂汤雪早，石炭煮茶迟”反映了石炭煮茶在火盆中不能充分燃烧且存在大量的热散失D. “爆竹一声除岁，春风送暖入屠苏”反映了竹子内部的化学物质迅速燃烧而爆炸,C. “铁盂汤雪早，石炭煮茶迟”反映了石炭煮茶在火盆中不能充分燃烧且存在大量的热散失
397,“田家少闲月，五月人倍忙。夜来南风起，小麦陇黄。”节选自白居易的一首诗。依据诗文，下列说法正确的是？A. 该地为温带大陆性气候B. 正值春季，盛行南风，小麦生长旺盛C. 该地粮食作物为冬小麦,C. 该地粮食作物为冬小麦
398,唐代诗人白居易在诗中描写了被蚊子叮咬的后果：“斯物颇微细，中人初甚轻。有如肤受谮（zèn），久则疮痏成。” 当人被蚊子叮咬后皮肤会出现红肿包，并感觉到痒，这主要是下列哪种物质造成的？A. 蚊子吐出的抗凝血物质B. 蚊子分泌的麻醉物质C. 人体分泌的组织胺,C. 人体分泌的组织胺
399,“奴马满宅舍，金银盈帑屋。”银是一种贵重的金属，在古代除了做为货币首饰外，还有很多应用。宋朝医书中明确记载了通过银针遇砒霜是否变黑来判断食物是否有毒的案例，这种判断方法的原理是银与哪种元素反应？A. 汞B. 铅C. 硫,C. 硫
400,“银烛秋光冷画屏，轻罗小扇扑流萤。”这是唐代著名诗人杜牧的诗句，那么你认为下面哪一个温度最接近流萤即萤火虫发出的荧光温度?A. 1 ℃ B. 0.001 ℃C. 37 ℃ ,B. 0.001 ℃
401,“门前石岸立精铁，潮汐洗尽莓苔昏。”潮汐是在月球和太阳引力作用下海水的周期性涨落现象。潮汐对地球的自转能产生影响，它会使地球自转发生怎样的变化？A. 加速B. 减速C. 先加速后减速,B. 减速
402,《长门怨二首》：“天回北斗挂西楼，金屋无人萤火流。”北斗七星高挂在西楼，寂寞的金屋只有萤火流动。北斗七星是北半球天空的重要星象，北斗七星中最亮的是哪颗星？A. 天枢B. 天玑C. 玉衡,C. 玉衡
403,诗人杨万里在《山村二首》中写道：“风烟绿水青山国，篱落紫茄黄豆家。”大豆在日常生活中是一种非常常见的食物。我们食用的豆腐主要是由大豆种子的哪一部分加工成的？A. 种皮 B. 子叶C. 胚乳, B. 子叶
404,诗经是中国最古老的一部诗歌总集，其中的《豳风·七月》写道：“七月流火，九月授衣”。诗中的“火”说的是夏天南方晚空中，一颗明亮的红色星星，中国古代叫做“大火”。请问在天文学中“大火”被称之为什么？A. 狮子座α星B. 天蝎座α星C. 金牛座α星,B. 天蝎座α星
405,白居易在《山石榴寄元九》中描写了九江三月，杜鹃鸟叫杜鹃花开的勃发景象：“九江三月杜鹃来，一声催得一枝开。”杜鹃鸟是动物，杜鹃花是植物，从生物学角度来看，下列哪一项是杜鹃花和杜鹃鸟细胞共有的结构？A. 细胞核B. 大液泡C. 细胞壁,A. 细胞核
406,某君“坐地日行八万里，巡天遥看一星河”，他更可能是？A.赤道几内亚人B.新加坡人C.神奈川人D.旧金山人,B.新加坡人
407,下列诗句中只涉及物理变化的是（ ）A. 野火烧不尽，春风吹又生B. 春蚕到死丝方尽，蜡炬成灰泪始干C.只要功夫深，铁杵磨成针D.爆竹声中一岁除，春风送暖入屠苏,C.只要功夫深，铁杵磨成针
408,我国民间有句谚语“水缸穿裙子，天就要下雨”其中“水缸穿裙子”是指在盛水的水缸外表面出现了一层密密麻麻的小水珠。关于小水珠的形成，以下解释中正确的是（）A、是空气中的水蒸气液化形成的B、是水缸中的水蒸发形成的 C、是水缸中的水分子扩散形成的 D、水缸可能有裂缝，水缸中的水渗到缸外形成的,A、是空气中的水蒸气液化形成的
409,宋代文学家范仲淹在脍炙人口的不朽名篇《岳阳楼记》中写道：“皓月千里，浮光跃金，静影沉壁”文中（）A、“皓月”是人造光源B、“皓月”是自然光源C、“静影沉壁”是反射形成的虚像D、“静影沉壁”是折射形成的虚像,C、“静影沉壁”是反射形成的虚像
410,李白在《望庐山瀑布》一诗中写道“日照香炉生紫烟，遥看瀑布挂前川，飞流直下三千尺，疑是银河落九天”。从 物理学的角度来看，对这首诗的理解错误的是（）A、形成“烟”的过程是吸热过程B、“烟”是液化形成的  C、“飞流直下”的水的动能在增加  D、“飞流直下”的水的重力势能在减小,A、形成“烟”的过程是吸热过程
411,唐朝诗人李益有一首诗叫《喜见外弟弟又言别》，其中描写道：“十年离乱后，长大一相逢，问姓惊初见，称名忆旧容 。从“问姓”中想起初见的“旧容”，可见声音中有一种特征让诗人唤起了十年前的记忆，这种特征是（）A、音调 B、响度 C、音色 D、振幅,C、音色
412,“闻其声而知其人”意思是：对熟悉的人，听到他的说话声就知道他是谁   了，判断了主要依据是（）A、音调 B、音色 C、响度 D、频率,B、音色
413,明代诗人曾写下这样一首诗“空手把锄头，不幸骑水牛，人在桥上走，桥流   水不流”。其中“桥流水不流”之句应理解成其选择的参照物是（）A、水 B、 桥C、 人D、地面,A、水
414,下列成语所反映的情景中，能说明光反射的是（） A、镜花水月 B、坐井观天 C、海市蜃楼 D、立竿见影,A、镜花水月
415,一些民间俗语蕴涵着丰富的物理知识，下列四句俗语对应的物理知识不正确的是（）A、四两拨千斤————杠杆原理B、磨刀不误砍柴工————减小受力面积，增大压强C、一个巴掌拍不响————力是物体对物体的作用 D、坐井观天光的折射,D、坐井观天光的折射
416,下列诗句，名言或说法对应的物理知识正确的是（） Ａ、“钻木取火”————做功改变内能Ｂ、“潭清疑水浅”————光的反射现象Ｃ、“湖静映彩霞”————光的折射现象Ｄ、“给我一个支点，我就能撬动地球”———利用机械省力,Ａ、“钻木取火”————做功改变内能
417,下列谚语所描述的现象与涉及的物理学知识对应不正确的是( )A.墙内开花墙外香——分子的不规则运动B.真金不怕火炼——火焰的温度高于金的熔点C.小小秤砣压千斤——杠杆平衡原理D.长啸一声，山鸣谷应——声音的多次反射,B.真金不怕火炼——火焰的温度高于金的熔点
